,PostalCode,name,categories,lat,lng
21,M5A,The Sweet Escape Patisserie,Bakery,43.65063217302609,-79.35870913127346
22,M5A,Parliament Square Park,Park,43.65026388338689,-79.36219509081177
23,M5A,Brick Street Bakery,Bakery,43.650574039683974,-79.35953942981405
24,M5A,Berkeley Church,Event Space,43.65512324174501,-79.36587330410705
25,M5A,Dark Horse Espresso Bar,Coffee Shop,43.653080578844275,-79.3570778621122
26,M5A,The Yoga Lounge,Yoga Studio,43.65551522261721,-79.36495542526245
27,M5A,Caffe Furbo,Café,43.649969882303814,-79.35884946388191
28,M5A,El Catrin,Mexican Restaurant,43.650600737116996,-79.35892024942333
29,M5A,Alumnae Theatre,Theater,43.65275554626444,-79.36475283805089
30,M5A,Enoch Turner Schoolhouse,History Museum,43.65287311275056,-79.36167245046332
31,M5A,Wildly Delicious Cafe,Café,43.65043587832196,-79.3588615181307
32,M5A,Soulpepper Theatre,Theater,43.65078003430492,-79.35761534068922
33,M5A,ODIN Cafe + Bar,Café,43.656738544928054,-79.35650305267754
34,M5A,John Fluevog Shoes,Shoe Store,43.64989585773889,-79.3594359503061
35,M5A,The Aviary,Pub,43.65363394725125,-79.35466212072043
36,M5A,Buster's Sea Cove Truck,Food Truck,43.65364665307943,-79.35787780917855
37,M5A,Souvlaki Express,Greek Restaurant,43.65558391537734,-79.36443816909016
38,M5A,Archeo,Italian Restaurant,43.65066723014277,-79.35943064816142
39,M5A,Mill St. Brew Pub,Pub,43.65035331843578,-79.35848936650571
40,M5A,Ontario Spring Water Sake Company,Brewery,43.649921646081026,-79.36007302731126
41,M5A,Arta Gallery,Art Gallery,43.650022181882065,-79.36122168476822
42,M5A,The Abnormal Beauty Company,Cosmetics Shop,43.649892147380996,-79.3610051085219
43,M5A,Izumi,Asian Restaurant,43.6499697935016,-79.36015326451906
44,M5A,Vistek,Electronics Store,43.65704640025721,-79.35966695607046
45,M5A,UpCountry,Furniture / Home Store,43.65276652789958,-79.36419829621599
46,M5A,The Beer Store,Beer Store,43.657773,-79.3574632
47,M5A,TD Canada Trust,Bank,43.652779762702764,-79.3563362625656
48,M5A,Subway,Sandwich Place,43.65570120830647,-79.36464396270765
49,M5A,Pure Spirits Oyster House & Grill,Seafood Restaurant,43.650408728757206,-79.35864768454414
